Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3473.4887537483332,18433.545873499308,2034.2965890225144,2034.2965890225144
2,3473.4887537483332,9433.545873499312,2034.2965890225144,2034.2965890225144
3,3473.4887537483332,6433.54587349931,2034.2965890225144,2034.2965890225144
4,3473.4887537483332,4933.54587349931,2034.2965890225144,2034.2965890225144
5,3473.4887537483332,4033.54587349931,2550.956430746895,2034.2965890225146
6,3473.4887537483332,3433.5458734993094,2450.956430746895,2034.2965890225146
7,3473.4887537483332,3004.974444927881,2379.5278593183234,2034.2965890225146
8,3473.4887537483332,2683.5458734993094,2325.956430746895,2034.2965890225146
9,3473.4887537483332,2433.54587349931,2284.2897640802285,2034.2965890225146
10,3473.4887537483332,2233.5458734993094,2250.956430746895,2034.2965890225146
