name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
encoder10_attn_head1_attn_v_matmul,MatMul,Encoder10_Head1,Enclave,0.2842436000719317,0.07497495296415463,0.24087700148811564,0.4942299983667908,0.42434229953869346,0.4802524586011714,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder10_attn_head1_softmax', 'encoder10_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder10_attn_head2_qk_matmul,MatMul,Encoder10_Head2,Enclave,0.40985319974424783,0.009868711515002824,0.3938650006602984,0.4354009997769026,0.424666249728034,0.4332540497671289,0,0,0,0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder10_attn_q_proj', 'encoder10_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder10_attn_head2_softmax,Softmax,Encoder10_Head2,Enclave,0.2681476998986909,0.02138575071324425,0.24621000011393335,0.32109199855767656,0.30761989901293413,0.3183975786487281,0,0,0,0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder10_attn_head2_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder10_attn_head2_attn_v_matmul,MatMul,Encoder10_Head2,Enclave,0.5438625996248447,0.2839250327150705,0.24780999956419691,0.9502279990556417,0.9097153993934625,0.9421254791232059,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder10_attn_head2_softmax', 'encoder10_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder10_attn_head3_qk_matmul,MatMul,Encoder10_Head3,Enclave,0.4196864998448291,0.032113689357449036,0.39037500027916394,0.50720299987006,0.47422430034202984,0.500607259964454,0,0,0,0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder10_attn_q_proj', 'encoder10_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder10_attn_head3_softmax,Softmax,Encoder10_Head3,Enclave,0.27521830015757587,0.010932349619213013,0.26065200108860154,0.29930100026831497,0.29256540028654854,0.2979538802719617,0,0,0,0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder10_attn_head3_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder10_attn_head3_attn_v_matmul,MatMul,Encoder10_Head3,Enclave,0.27529899998626206,0.07611498287940072,0.2314100001967745,0.5008839998481562,0.3979073499976946,0.480288669878064,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder10_attn_head3_softmax', 'encoder10_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder10_attn_head4_qk_matmul,MatMul,Encoder10_Head4,Enclave,0.4185657002381049,0.009660864749686637,0.40298800013260916,0.43888699838134926,0.43385689959904994,0.4378809786248894,0,0,0,0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder10_attn_q_proj', 'encoder10_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder10_attn_head4_softmax,Softmax,Encoder10_Head4,Enclave,0.25140950001514284,0.010119887413314332,0.23990299996512476,0.26789999901666306,0.26549339991106535,0.2674186791955435,0,0,0,0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder10_attn_head4_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder10_attn_head4_attn_v_matmul,MatMul,Encoder10_Head4,Enclave,0.30165969983499963,0.08523294596499612,0.23770499865349848,0.4742759992950596,0.4703150998466299,0.47348381940537365,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder10_attn_head4_softmax', 'encoder10_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
