name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
backbone.2.m.0.cv2.conv,Conv2d,Backbone,Enclave,308.32537219994265,3.980487180556781,303.8026029998946,314.87162400026136,313.80027280010836,314.65735376023076,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.0.cv1.silu'],5,13254912,13254912,60,13254972,147456,256,13107200,1,60
backbone.2.m.0.cv2.bn,BatchNorm2d,Backbone,Enclave,2.9002703999140067,0.40643143796058223,2.638676999595191,3.7077110000609537,3.521844400165719,3.6705376800819067,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.0.cv2.conv'],5,13108224,13108224,60,13108284,512,512,13107200,1,60
backbone.2.m.0.cv2.silu,SiLU,Backbone,Enclave,19.332418800149753,1.1379145535338933,18.342564000704442,20.87496199965244,20.812993599793117,20.862568319680577,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.0.cv2.bn'],5,13107200,13107200,60,13107260,0,0,13107200,1,60
backbone.2.m.1.cv1.conv,Conv2d,Backbone,Enclave,129.62851979991683,0.9289433516624258,128.56892499985406,130.88832999983424,130.80079259998456,130.8708225198643,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.0.cv2.silu'],5,13123840,13123840,60,13123900,16384,256,13107200,1,60
backbone.2.m.1.cv1.bn,BatchNorm2d,Backbone,Enclave,2.6830833998246817,0.03557412519994234,2.64125800003967,2.7448299997558934,2.733250399796816,2.742514079764078,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.1.cv1.conv'],5,13108224,13108224,60,13108284,512,512,13107200,1,60
backbone.2.m.1.cv1.silu,SiLU,Backbone,Enclave,18.488810199778527,0.05879992213982945,18.41789999980392,18.57649399971706,18.568455199783784,18.574886239730404,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.1.cv1.bn'],5,13107200,13107200,60,13107260,0,0,13107200,1,60
backbone.2.m.1.cv2.conv,Conv2d,Backbone,Enclave,313.0919499999436,11.150954028402479,304.50370099970314,334.7334959998989,330.1900257998568,333.82480195989046,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.1.cv1.silu'],5,13254912,13254912,60,13254972,147456,256,13107200,1,60
backbone.2.m.1.cv2.bn,BatchNorm2d,Backbone,Enclave,2.9717310000705766,0.48619942282793666,2.673646999937773,3.9400810001097852,3.7136012000701157,3.8947850401018513,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.1.cv2.conv'],5,13108224,13108224,60,13108284,512,512,13107200,1,60
backbone.2.m.1.cv2.silu,SiLU,Backbone,Enclave,19.749007199789048,1.0858912244324173,18.392008999398968,20.792209000319417,20.75635940018401,20.785039080292336,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.1.cv2.bn'],5,13107200,13107200,60,13107260,0,0,13107200,1,60
backbone.2.m.2.cv1.conv,Conv2d,Backbone,Enclave,130.6157892000556,1.2525123341286102,128.1971339994925,131.54275000033522,131.51476300026843,131.53715260032186,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.1.cv2.silu'],5,13123840,13123840,60,13123900,16384,256,13107200,1,60
