LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations,CPU_Memory_Bytes,TEE_Memory_Bytes,TEE_Encryption_Overhead,TEE_Total_Memory_Bytes,Weight_Bytes,Bias_Bytes,Activation_Bytes,Num_Chunks,Chunk_Metadata_Bytes
inception_a1_b3_relu1,SecretReLULayer,Inception-A1,0.2717,0.0179,0.2406,0.305,0.2986,0.3037,0.019,0.0002,0.0188,0.0193,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",inception_a1_b3_1x1,10,470400,470400,60,470460,0,0,470400,1,60
inception_a1_b3_3x3_1,SGXConvBase,Inception-A1,2.8397,0.5309,2.5764,4.4101,3.7319,4.2744,0.6105,0.0091,0.597,0.6241,313600,313600,"[1, 48, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_relu1,10,659648,659648,60,659708,110592,256,548800,1,60
inception_a1_b3_relu2,SecretReLULayer,Inception-A1,0.3039,0.0329,0.2581,0.379,0.3556,0.3743,0.01,0.0004,0.0096,0.0112,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_3x3_1,10,627200,627200,60,627260,0,0,627200,1,60
inception_a1_b3_3x3_2,SGXConvBase,Inception-A1,10.0627,0.6668,9.6084,11.6218,11.3907,11.5755,0.6111,0.0077,0.5976,0.6201,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_relu2,10,774912,774912,60,774972,147456,256,627200,1,60
inception_a1_b3_relu3,SecretReLULayer,Inception-A1,0.3114,0.0221,0.2765,0.3446,0.3443,0.3445,0.012,0.0032,0.01,0.0192,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_3x3_2,10,627200,627200,60,627260,0,0,627200,1,60
inception_a1_b4_pool,SecretMaxpool2dLayer,Inception-A1,0.1108,0.006,0.0987,0.1223,0.1196,0.1218,6.0174,0.0173,5.9834,6.0513,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",stem_pool2,10,1881600,1881600,120,1881720,0,0,1881600,2,60
inception_a1_b4_1x1,SGXConvBase,Inception-A1,4.6632,0.4562,4.3373,5.6,5.567,5.5934,0.2086,0.0064,0.1994,0.2202,156800,156800,"[1, 192, 35, 35]","[1, 32, 35, 35]",inception_a1_b4_pool,10,1122304,1122304,120,1122424,24576,128,1097600,2,60
inception_a1_b4_relu,SecretReLULayer,Inception-A1,0.2107,0.0326,0.1708,0.2925,0.2689,0.2878,0.011,0.0021,0.0097,0.0152,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",inception_a1_b4_1x1,10,313600,313600,60,313660,0,0,313600,1,60
inception_a1_concat,SecretConcatenateLayer,Inception-A1,0.2355,0.0149,0.2119,0.2601,0.2582,0.2597,0.01,0,0.01,0.01,1254400,1254400,[],"[1, 256, 35, 35]",inception_a1_b1_relu;inception_a1_b2_relu2;inception_a1_b3_relu3;inception_a1_b4_relu,10,1254400,1254400,120,1254520,0,0,1254400,2,60
inception_a2_b1_1x1,SGXConvBase,Inception-A2,14.3856,0.1204,14.1771,14.5493,14.536,14.5466,0.617,0.0112,0.6021,0.638,313600,313600,"[1, 256, 35, 35]","[1, 64, 35, 35]",inception_a1_concat,10,1633792,1633792,120,1633912,65536,256,1568000,2,60
inception_a2_b1_relu,SecretReLULayer,Inception-A2,0.2902,0.0214,0.2682,0.3406,0.3244,0.3374,0.0106,0.0021,0.0097,0.0169,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b1_1x1,10,627200,627200,60,627260,0,0,627200,1,60
inception_a2_b2_1x1,SGXConvBase,Inception-A2,15.3078,0.1813,15.0819,15.637,15.6288,15.6353,0.6146,0.0094,0.6019,0.6264,313600,313600,"[1, 256, 35, 35]","[1, 64, 35, 35]",inception_a1_concat,10,1633792,1633792,120,1633912,65536,256,1568000,2,60
inception_a2_b2_relu1,SecretReLULayer,Inception-A2,0.3013,0.023,0.2713,0.3383,0.3356,0.3377,0.0106,0.0015,0.0098,0.0151,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b2_1x1,10,627200,627200,60,627260,0,0,627200,1,60
inception_a2_b2_3x3,SGXConvBase,Inception-A2,16.6077,0.1353,16.4388,16.9192,16.8297,16.9013,1.2604,0.009,1.2483,1.2761,470400,470400,"[1, 64, 35, 35]","[1, 96, 35, 35]",inception_a2_b2_relu1,10,1005568,1005568,120,1005688,221184,384,784000,2,60
