name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
encoder7_attn_head3_softmax,Softmax,Encoder7_Head3,Enclave,0.2568832001998089,0.006779041617681559,0.24844499967002776,0.2685250001377426,0.26670430015656166,0.2681608601415064,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder7_attn_head3_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder7_attn_head3_attn_v_matmul,MatMul,Encoder7_Head3,Enclave,0.2888011002141866,0.0825783001231174,0.23408300148730632,0.5002210000384366,0.4498115500609855,0.4901391100429464,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder7_attn_head3_softmax', 'encoder7_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head4_qk_matmul,MatMul,Encoder7_Head4,Enclave,0.45263949996297015,0.09209105607138851,0.395827999454923,0.7203290006145835,0.6119996002780679,0.6986631205472804,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder7_attn_q_proj', 'encoder7_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head4_softmax,Softmax,Encoder7_Head4,Enclave,0.2991120001752279,0.023109574818770018,0.27724600113288034,0.34283000059076585,0.3413175508285349,0.34252751063831965,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder7_attn_head4_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder7_attn_head4_attn_v_matmul,MatMul,Encoder7_Head4,Enclave,0.2590097001302638,0.023755921180816493,0.2390829995420063,0.3202839998266427,0.3016229505192313,0.3165517899651604,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder7_attn_head4_softmax', 'encoder7_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head5_qk_matmul,MatMul,Encoder7_Head5,Enclave,0.425023200114083,0.03179157084788287,0.40669599911780097,0.5185860009078169,0.4779235509886347,0.5104535109239805,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder7_attn_q_proj', 'encoder7_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head5_softmax,Softmax,Encoder7_Head5,Enclave,0.27326459967298433,0.016617989699796165,0.2589719988463912,0.312320000375621,0.3038523496798007,0.31062647023645695,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder7_attn_head5_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder7_attn_head5_attn_v_matmul,MatMul,Encoder7_Head5,Enclave,0.27118469988636207,0.06341980848190294,0.24043699886533432,0.4600730007950915,0.37183745098445775,0.4424258908329648,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder7_attn_head5_softmax', 'encoder7_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head6_qk_matmul,MatMul,Encoder7_Head6,Enclave,0.4284215998268337,0.04155957007960013,0.3946959986933507,0.5470319993037265,0.4959376496117328,0.5368131293653278,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder7_attn_q_proj', 'encoder7_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head6_softmax,Softmax,Encoder7_Head6,Enclave,0.25940809991880087,0.009057340820655355,0.24791800024104305,0.28057100098521914,0.2751296004134929,0.2794827208708739,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder7_attn_head6_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
