name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
encoder5_attn_head3_attn_v_matmul,MatMul,Encoder5_Head3,Enclave,0.2559332000600989,0.01709861967206993,0.23844599854783155,0.2917479996540351,0.2822674000526604,0.28985187973376014,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder5_attn_head3_softmax', 'encoder5_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder5_attn_head4_qk_matmul,MatMul,Encoder5_Head4,Enclave,0.4146843999478733,0.01850336937969277,0.39550499968754593,0.4453630008356413,0.4413926504639676,0.44456893076130655,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder5_attn_q_proj', 'encoder5_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder5_attn_head4_softmax,Softmax,Encoder5_Head4,Enclave,0.26825779968930874,0.010588284999484944,0.2570569995441474,0.29107299997122027,0.28626924940908793,0.2901122498587938,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder5_attn_head4_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder5_attn_head4_attn_v_matmul,MatMul,Encoder5_Head4,Enclave,0.2700962999369949,0.07544021075676174,0.23599400083185174,0.49466799828223884,0.3905208991454854,0.47383857845488825,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder5_attn_head4_softmax', 'encoder5_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder5_attn_head5_qk_matmul,MatMul,Encoder5_Head5,Enclave,0.4081200999280554,0.013258741265570063,0.39340399962384254,0.43478999941726215,0.42908804934995715,0.43364960940380115,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder5_attn_q_proj', 'encoder5_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder5_attn_head5_softmax,Softmax,Encoder5_Head5,Enclave,0.2619571003378951,0.012260048226397478,0.24868599939509295,0.2884819987230003,0.2821261996359681,0.28721083890559385,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder5_attn_head5_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder5_attn_head5_attn_v_matmul,MatMul,Encoder5_Head5,Enclave,0.24479250005242648,0.007857567600978119,0.2369089997955598,0.26484400041226763,0.2588702499451756,0.2636492503188492,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder5_attn_head5_softmax', 'encoder5_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder5_attn_head6_qk_matmul,MatMul,Encoder5_Head6,Enclave,0.42407329947309336,0.03248838853140159,0.3925889996025944,0.5123399987496668,0.4761581991260754,0.5051036388249486,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder5_attn_q_proj', 'encoder5_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder5_attn_head6_softmax,Softmax,Encoder5_Head6,Enclave,0.26775189962791046,0.013397100698908346,0.2550089993746951,0.29616400024679024,0.2900084500652156,0.2949328902104753,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder5_attn_head6_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder5_attn_head6_attn_v_matmul,MatMul,Encoder5_Head6,Enclave,0.29552330015576445,0.06657729523383847,0.23376500030281022,0.46680500054208096,0.40895255069699477,0.45523451057306374,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder5_attn_head6_softmax', 'encoder5_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
