Server number,OCC,DINA,MEDIA,Ours
1,31050.07556043789,31050.075560437883,31064.440560437808,31064.440560437808
2,31050.07556043789,31115.08040510341,27843.93963977032,27843.93963977032
3,12560.671490307453,21485.680969872254,12620.760421975187,12620.760421975187
4,12560.671490307453,12625.676334972983,11713.227488651053,11713.227488651053
5,12560.671490307453,12625.676334972983,11680.168481618302,11680.168481618302
6,12560.671490307453,12625.676334972983,11657.815787534337,11657.815787534337
7,12319.867032846603,12500.263839368507,11461.245974414096,11461.245974414096
8,11251.281973393428,11828.3459706216,10638.33797296773,10638.33797296773
