Server number,OCC,DINA,MEIDA,Ours
1,28374.667375402358,28374.66737540235,28374.822375402346,130549.51761670574
2,28374.667375402358,33454.66737540235,42087.897478264975,33697.546143681546
3,12726.641571272396,28560.264960767618,12728.406571272391,11854.31352104046
4,12726.641571272396,26055.826373969263,13328.618675779668,12141.703358702032
5,12726.641571272396,24487.911432349352,13328.618675779668,12141.703358702032
6,12726.641571272396,24123.750137836276,13328.618675779668,12141.703358702032
7,11443.108522087836,22120.860330945397,11444.87352208783,10570.7804718559
8,10645.557086861296,21774.03844137417,10647.322086861292,9773.229036629358
