Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,5249.174481438989,81757.12673760354,6533.0381234067645,6533.0381234067645
2,5249.174481438989,41257.12673760354,6533.0381234067645,6533.0381234067645
3,5249.174481438989,27757.12673760354,6533.0381234067645,6533.0381234067645
4,5249.174481438989,21007.12673760354,6533.0381234067645,6533.0381234067645
5,5249.174481438989,16957.12673760354,6533.0381234067645,6533.0381234067645
6,5249.174481438989,14257.12673760354,6533.0381234067645,6533.0381234067645
7,5249.174481438989,12328.555309032112,6533.0381234067645,6533.0381234067645
8,5249.174481438989,10882.12673760354,6533.0381234067645,6533.0381234067645
9,5249.174481438989,9757.126737603541,6533.0381234067645,6533.0381234067645
10,5249.174481438989,8857.12673760354,6533.0381234067645,6533.0381234067645
