Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,1505.8032000000003,22036.56491875,7136.250685565749,7136.250685565749
10,1505.8032000000003,3558.8793718750003,1505.8082,1505.8082
20,1505.8032000000003,2532.3412859375003,1505.8082,1505.8082
30,1505.8032000000003,2190.1619239583333,1505.8082,1505.8082
40,1505.8032000000003,2019.0722429687503,1505.8082,1505.8082
50,1505.8032000000003,1916.4184343750003,1505.8082,1505.8082
60,1505.8032000000003,1847.982561979167,1505.8082,1505.8082
70,1505.8032000000003,1799.0997959821432,1505.8082,1505.8082
80,1505.8032000000003,1762.4377214843753,1505.8082,1505.8082
90,1505.8032000000003,1733.9227746527781,1505.8082,1505.8082
100,1505.8032000000003,1711.1108171875003,1505.8082,1505.8082
