Model,DINA_Latency,MEDIA_Latency,Ours_Latency,OCC_Latency
ALBERT,2106.4961440010798,2106.4961440010798,219.54289580168003,1306.3217245980036
BERT-base,816.24475270176,859.9653352069774,605.08510920176,1082.1565301980977
DistillBERT,1333.54587349931,1332.0668203345263,112.1939763003,603.9478128913997
InceptionV3,1711.0958171875002,1711.0958171875002,1362.4088187500004,1689.5825229675295
TinyBERT-4l,104.71379160064,104.71379160064,26.63648730034,104.71379160064
TinyBERT-6l,1340.90907479892,1341.0826969691832,114.2444303998,611.3080558932804
ViT-base,4342.1832713003005,4417.515177691547,425.15835730120006,2199.0326746816477
