Model,DINA_Latency,MEDIA_Latency,Ours_Latency,OCC_Latency
ALBERT,876.49614400108,876.49614400108,219.54289580168003,1306.3217245980036
BERT-base,666.24475270176,666.24475270176,605.08510920176,1082.1565301980977
DistillBERT,433.54587349931,433.54587349931,112.1939763003,603.9478128913997
InceptionV3,1505.7882,1505.7882,1362.4088187500004,1689.5825229675297
TinyBERT-4l,104.71379160064,104.71379160064,26.63648730034,104.71379160064
TinyBERT-6l,440.90907479892,440.90907479892,114.2444303998,611.3080558932804
ViT-base,1618.0426463003,1618.0426463003,425.15835730120006,2199.032674681648
