Model,OCC,DINA,MEDIA,Ours
InceptionV3,1514.1263250000009,1529.7622369751616,1505.7882000000002,626.489274479167
ALBERT-large,3088.946139204192,13532.317092800295,2409.595878402317,2257.2683943353304
BERT-large,3040.8598058139323,13097.019662556393,2330.1872151112766,2279.936067206305
ResNet-50,307.41461999969033,293.8269667994973,293.8269667994973,139.91181094950963
VGG-16,3079.122707200542,4756.633442319297,2934.686520210358,1102.7740863500567
ViT-large,3931.9310179747263,20675.88572247258,3337.7259571977484,2666.0471979716554
YOLOv5,11613.069430401629,13082.23831259894,11639.860821157561,3263.7134763522563
