Server number,OCC,DINA,MEIDA,Ours
1,13688.998636363638,13688.998636363638,13689.09863636363,13689.633636363538
2,13688.998636363638,13698.99883216024,13689.09863636363,9941.83045455108
3,1619.1420967741938,5661.907101954959,1619.2420967741941,1444.7593548387167
4,1619.1420967741938,1629.1422925707952,1619.2420967741941,1139.7140053763471
5,1619.1420967741938,1629.1422925707952,1619.2420967741941,996.1587634465226
6,1619.1420967741938,1629.1422925707952,1619.2420967741941,924.3207258137531
7,1461.945291262136,1524.4678797928434,1462.045291262136,856.6500033929128
8,764.3744923857869,1007.446138579116,764.4744923857866,466.72762766546685
