Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,376.62824489998457,376.62824489998457,376.62824489998457,376.62824489998457
1.0,376.62824489998457,376.62824489998457,376.62824489998457,376.62824489998457
2.0,376.62824489998457,376.62824489998457,376.62824489998457,376.62824489998457
5.0,376.62824489998457,376.62824489998457,376.62824489998457,376.62824489998457
10.0,376.62824489998457,376.62824489998457,376.62824489998457,376.62824489998457
20.0,376.62824489998457,376.62824489998457,376.62824489998457,376.62824489998457
50.0,376.62824489998457,376.62824489998457,376.62824489998457,336.87974749864225
100.0,376.62824489998457,376.62824489998457,376.62824489998457,336.87974749864225
200.0,376.62824489998457,376.62824489998457,376.62824489998457,336.87974749864225
500.0,376.62824489998457,376.62824489998457,391.87853429796814,332.9332908981014
