Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,757.1267376035394,165627.92656594215,757.1267376035394,757.1267376035394
1.0,757.1267376035394,84627.92656594218,757.1267376035394,757.1267376035394
2.0,757.1267376035394,44127.92656594216,757.1267376035394,757.1267376035394
5.0,757.1267376035394,19827.92656594216,757.1267376035394,757.1267376035394
10.0,757.1267376035394,11727.926565942162,757.1267376035394,757.1267376035394
20.0,757.1267376035394,7677.926565942162,757.1267376035394,757.1267376035394
50.0,757.1267376035394,5247.926565942162,757.1267376035394,663.3573529010391
100.0,757.1267376035394,4437.926565942163,757.1267376035394,663.3573529010391
200.0,757.1267376035394,4032.9265659421626,757.1267376035394,663.3573529010391
500.0,757.1267376035394,3789.9265659421626,780.1161635026074,662.5376663989227
