Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,1137.475180990934,1137.475180990934,1137.475180990934,415.04218247618417
1.0,1137.475180990934,1137.475180990934,1137.475180990934,583.055687629318
2.0,1137.475180990934,1137.475180990934,1137.475180990934,431.6816984248156
5.0,1137.475180990934,1137.475180990934,1137.475180990934,493.5931755317783
10.0,1137.475180990934,1137.475180990934,1137.475180990934,591.5082876986038
20.0,1137.475180990934,1137.475180990934,1137.475180990934,520.1659824939072
50.0,1137.475180990934,1137.475180990934,1137.475180990934,1021.582547731954
100.0,1137.475180990934,1137.475180990934,1137.475180990934,673.328122164539
200.0,1137.475180990934,1137.475180990934,1137.475180990934,500.56851852639994
500.0,1137.475180990934,1137.475180990934,1137.475180990934,572.5028654454061
