Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,377.1024663983553,132392.10246639836,377.1024663983553,377.1024663983553
1.0,377.1024663983553,66392.10246639836,377.1024663983553,377.1024663983553
2.0,377.1024663983553,33392.102466398355,377.1024663983553,377.1024663983553
5.0,377.1024663983553,13592.102466398355,377.1024663983553,377.1024663983553
10.0,377.1024663983553,6992.102466398355,377.1024663983553,377.1024663983553
20.0,377.1024663983553,3692.1024663983553,377.1024663983553,377.1024663983553
50.0,377.1024663983553,1712.1024663983553,377.1024663983553,337.31744210090255
100.0,377.1024663983553,1052.1024663983553,377.1024663983553,337.31744210090255
200.0,377.1024663983553,722.1024663983553,377.1024663983553,337.31744210090255
500.0,377.1024663983553,524.1024663983553,377.1024663983553,332.5832497999727
