Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,307.41461999969033,61562.41461999969,293.8269667994973,293.8269667994973
1.0,307.41461999969033,30937.41461999969,293.8269667994973,293.8269667994973
2.0,307.41461999969033,15624.91461999969,293.8269667994973,293.8269667994973
5.0,307.41461999969033,6437.41461999969,293.8269667994973,293.8269667994973
10.0,307.41461999969033,3374.9146199996903,293.8269667994973,293.8269667994973
20.0,307.41461999969033,1843.6646199996903,293.8269667994973,293.8269667994973
50.0,307.41461999969033,924.9146199996903,293.8269667994973,293.8269667994973
100.0,307.41461999969033,618.6646199996903,293.8269667994973,293.8269667994973
200.0,307.41461999969033,465.53961999969033,293.8269667994973,293.8269667994973
500.0,307.41461999969033,373.66461999969033,293.8269667994973,257.8878421327815
