Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,180.4347340043023,368.6174569352105,180.4347340043023,180.4347340043023
1.0,180.4347340043023,368.6174569352105,180.4347340043023,180.4347340043023
2.0,180.4347340043023,368.6174569352105,180.4347340043023,180.4347340043023
5.0,180.4347340043023,368.6174569352105,180.4347340043023,180.4347340043023
10.0,180.4347340043023,368.6174569352105,180.4347340043023,180.4347340043023
20.0,180.4347340043023,368.6174569352105,180.4347340043023,180.4347340043023
50.0,180.4347340043023,368.6174569352105,180.4347340043023,176.9720741067431
100.0,180.4347340043023,368.6174569352105,180.4347340043023,160.11139320675284
200.0,180.4347340043023,368.6174569352105,180.4347340043023,150.85906335676555
500.0,180.4347340043023,368.6174569352105,180.4347340043023,146.16709880388225
