Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,30223.348265113447,238306.66589801747,28558.856500129332,28558.856500129332
2,30223.348265113447,120306.6658980175,28558.856500129332,28558.856500129332
3,30223.348265113447,80973.33256468415,28558.856500129332,28558.856500129332
4,30223.348265113447,61306.66589801749,28558.856500129332,28558.856500129332
5,30223.348265113447,49506.66589801749,28558.856500129332,28558.856500129332
6,30223.348265113447,41639.99923135083,28558.856500129332,28558.856500129332
7,30223.348265113447,36020.95161230321,28558.856500129332,28558.856500129332
8,30223.348265113447,31806.66589801749,198389.68645291423,198389.68645291423
9,30223.348265113447,28528.888120239717,176667.46423069204,176667.46423069204
10,30223.348265113447,25906.66589801749,159289.68645291423,159289.68645291423
