Server number,OCC,DINA,MEIDA,Ours
1,3879.1456742884534,3879.1456742884534,3879.1456742884534,3879.1456742884534
2,3879.1456742884534,3879.1456742884534,3879.9556742884542,1939.9457628019256
3,1188.1091575557725,3879.1456742884534,1188.919157555773,753.6947594983385
4,1188.1091575557725,3879.1456742884534,1188.919157555773,512.5575405976662
5,1188.1091575557725,3879.1456742884534,1188.919157555773,428.5838835338687
6,1188.1091575557725,3879.1456742884534,1188.919157555773,356.2529683674258
7,967.376245364557,3879.1456742884534,968.1862453645574,261.2423080844059
8,830.2190050179361,3879.1456742884534,831.0290050179365,211.17357199445993
