Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
1,1824.5683295880526,1829.639855161783,1729.1469791992565,1729.1469791992565
10,1824.5683295880526,1829.5754821454257,1729.146975175942,1729.146975175942
20,1824.5683295880526,1829.5719058667391,1729.1469749524251,1729.1469749524251
30,1824.5683295880526,1829.5707137738436,1729.14697487792,1729.14697487792
40,1824.5683295880526,1829.5701177273959,1729.1469748406669,1729.1469748406669
50,1824.5683295880526,1829.5697600995272,1729.1469748183147,1729.1469748183147
60,1824.5683295880526,1829.5695216809481,1729.1469748034137,1729.1469748034137
70,1824.5683295880526,1829.5693513819629,1729.1469747927695,1729.1469747927695
80,1824.5683295880526,1829.5692236577243,1729.1469747847875,1729.1469747847875
90,1824.5683295880526,1829.5691243166495,1729.1469747785782,1729.1469747785782
100,1824.5683295880526,1829.56904484379,1729.1469747736116,1729.1469747736116
