Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,13634.414680050302,13704.984172628812,12399.165510166667,12399.165510166667
10,13634.414680050302,13704.471629308156,12399.165480114203,12399.165480114203
20,13634.414680050302,13704.443154679231,12399.165478444625,12399.165478444625
30,13634.414680050302,13704.433663136258,12399.165477888098,12399.165477888098
40,13634.414680050302,13704.428917364768,12399.16547760981,12399.16547760981
50,13634.414680050302,13704.426069901876,12399.165477442852,12399.165477442852
60,13634.414680050302,13704.42417159328,12399.165477331553,12399.165477331553
70,13634.414680050302,13704.422815658572,12399.16547725205,12399.16547725205
80,13634.414680050302,13704.421798707537,12399.165477192408,12399.165477192408
90,13634.414680050302,13704.421007745625,12399.165477146049,12399.165477146049
100,13634.414680050302,13704.42037497609,12399.165477108949,12399.165477108949
