Server number,OCC,DINA,MEDIA,Ours
1,105573.35845819664,158360.03768729494,105590.77679559807,105573.35845819664
2,105573.35845819664,133003.0238609242,103785.60104660477,73467.24965026975
3,12487.17143053939,133003.0238609242,12491.660166802774,11239.97939180515
4,12487.17143053939,133003.0238609242,12275.71625282422,8544.814150107482
5,12487.17143053939,133003.0238609242,12275.71625282422,8169.299807953076
6,12487.17143053939,133003.0238609242,12293.337677957768,7947.698002380182
7,11274.824689710329,133003.0238609242,11099.809748058955,7310.980250375299
8,5894.959101726718,133003.0238609242,5905.396893655217,4814.376926717918
