Server number,OCC,DINA,MEDIA,Ours
1,32395.34500701586,32395.34500701586,32395.345007015832,32395.34500701582
2,32395.34500701586,32461.907507015836,29869.90496643398,30167.636981120515
3,4111.681874166371,32461.907507015836,3831.707473948107,3737.3972416835677
4,4111.681874166371,32461.907507015836,3831.707473948107,3737.3972416835677
5,4111.681874166371,32461.907507015836,3831.707473948107,3737.3972416835677
6,4111.681874166371,32461.907507015836,3831.707473948107,3737.3972416835677
7,3862.374167936628,32461.907507015836,3459.6970395842163,3374.543140549241
8,2995.379155267902,32461.907507015836,1808.8771323714425,1764.355043028283
