Server number,OCC,DINA,MEDIA,Ours
1,2671.1542436317936,2671.1542436317936,2671.1542436317936,2671.1542436317936
2,2671.1542436317936,2671.1542436317936,2671.1542436317936,2671.1542436317936
3,329.3772795695595,1609.3402228336715,315.9429750532229,315.9429750532229
4,329.3772795695595,1414.8006445330684,315.9429750532229,315.9429750532229
5,329.3772795695595,1414.8006445330684,315.9429750532229,315.9429750532229
6,329.3772795695595,1414.8006445330684,315.9429750532229,315.9429750532229
7,298.91589320358287,1414.8006445330684,285.2688998053372,285.2688998053372
8,163.74155837547735,1414.8006445330684,149.15074456827276,149.15074456827276
