Server number,OCC,DINA,MEDIA,Ours
1,1640.3157636754754,1640.3157636754754,1640.3157636754756,1640.3157636754752
2,1640.3157636754754,1640.3157636754754,1522.9901727767854,1391.194909152876
3,194.0158430153788,194.0158430153788,194.01584301537878,189.5551736610071
4,194.0158430153788,194.0158430153788,194.01584301537878,178.36094129472585
5,194.0158430153788,194.0158430153788,194.01584301537878,172.3622896583245
6,194.0158430153788,194.0158430153788,194.01584301537878,170.10209804564786
7,175.17935340223525,175.17935340223522,175.17935340223522,154.9572030316579
8,91.59123553517884,91.59123553517884,91.59123553517882,91.5912355351789
