Server number,OCC,DINA,MEDIA,Ours
1,13929.89666057862,13929.896660578625,13929.871660578623,13931.686660578622
2,13929.89666057862,13944.897365105526,13929.906660578625,6969.1115950259145
3,4170.86833882067,8941.305018838373,4170.903338820671,3677.5274264225213
4,4170.86833882067,4185.869043347571,4170.84333882067,1806.2620867368173
5,4170.86833882067,4185.869043347571,4170.87333882067,2045.523198970847
6,4170.86833882067,4185.869043347571,4170.84333882067,1867.3231369176922
7,4043.767567403032,4120.7026736945545,4043.8025674030323,1739.083129534708
8,3479.7498294675015,3769.588371672735,3479.7548294675016,1800.5095025809876
