Server number,OCC,DINA,MEDIA,Ours
1,6875.319389058528,33607.85636447155,6875.319389058532,6875.319389058532
2,6875.319389058528,31693.937250763378,6534.709909979405,6174.502112727087
3,813.2098202112237,5388.998164962428,813.2098202112238,763.7038698934489
4,813.2098202112237,4308.728496730711,813.2098202112238,709.3443477408796
5,813.2098202112237,5171.775793888832,813.2098202112238,709.3443477408796
6,813.2098202112237,1703.9724431653572,813.2098202112238,709.3443477408796
7,734.2574104819787,2225.5993183509513,734.2574104819787,640.475964465066
8,383.90108263778586,2840.12791600081,383.90108263778603,334.86814385736966
