Server number,OCC,DINA,MEDIA,Ours
1,6882.970341850358,6882.970341850358,6882.970341850359,6882.970341850355
2,6882.970341850358,6882.970341850358,6553.604891856136,6260.865475481045
3,814.1147716167089,814.1147716167089,814.1147716167093,762.2468009693519
4,814.1147716167089,814.1147716167089,814.1147716167093,713.2874762376765
5,814.1147716167089,814.1147716167089,814.1147716167093,713.2874762376765
6,814.1147716167089,814.1147716167089,814.1147716167093,713.2874762376765
7,735.0745025277081,735.0745025277081,735.074502527708,644.0362649524651
8,384.32829319976616,384.32829319976616,384.3282931997663,336.72962076194887
