Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,12432.211612063105,520432.2116120631,78017.56722551613,12432.211612063107
10,12432.211612063105,63232.21161206311,4225.992106225507,12432.211612063107
20,12432.211612063105,37832.21161206311,3723.4557814694963,12432.211612063107
30,12432.211612063105,29365.54494539644,3281.4275933994018,12432.211612063107
40,12432.211612063105,25132.211612063107,3541.810067887594,12432.211612063107
50,12432.211612063105,22592.21161206311,3244.7301030254707,12432.211612063107
60,12432.211612063105,20898.878278729775,3405.2733037755256,12432.211612063107
70,12432.211612063105,19689.354469205966,3182.2407236393105,12432.211612063107
80,12432.211612063105,18782.21161206311,3114.4254635618645,12432.211612063107
90,12432.211612063105,18076.656056507552,3154.6260036054077,12432.211612063107
100,12432.211612063105,17512.21161206311,3207.259665748522,12432.211612063107
