Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,238.98657532960584,238.98657532960584,737.9767768667891,0.0
10,238.98657532960584,238.98657532960584,288.5154259058101,0.0
20,238.98657532960584,238.98657532960584,260.1990145802786,0.0
30,238.98657532960584,238.98657532960584,248.46316740098908,0.0
40,238.98657532960584,238.98657532960584,243.69281008378246,0.0
50,238.98657532960584,238.98657532960584,240.182828004969,0.0
60,238.98657532960584,238.98657532960584,245.6213564567944,0.0
70,238.98657532960584,238.98657532960584,238.37651120796903,0.0
80,238.98657532960584,238.98657532960584,237.5475693833571,0.0
90,238.98657532960584,238.98657532960584,234.20441495652182,0.0
100,238.98657532960584,238.98657532960584,241.88861280347675,0.0
