name,type,group,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
block1_norm1,LayerNorm,Block1,0.4203959999,0.0107450814,0.3933810003,0.4295540002,0.4293483497,0.4295128701,0.08250270012,0.007217674279,0.07799500054,0.09872800001,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block0_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block1_attn_qkv_proj,Linear,Block1,23.6347171,0.4363122073,22.814242,24.383496,24.29860395,24.36651759,4.7037842,0.03307528037,4.679696,4.797797,605184,1815552,"[1, 197, 768]","[1, 197, 2304]",['block1_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,9507840,9507840,60,9507900,7077888,9216,2420736,1,60
block1_attn_qk_matmul,MatMul,Block1,22.5559465,0.3608649741,22.220881,23.515576,23.18044165,23.44854913,0.7652691999,0.08034427612,0.7051870007,0.9869159994,1210368,1862832,"[1, 12, 197, 64]","[1, 12, 197, 197]",['block1_attn_qkv_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block1_attn_softmax,Softmax,Block1,5.22055,0.09823149948,5.085287001,5.344740999,5.33782675,5.343358149,0.7284322,0.0118606418,0.7048999996,0.7440980007,1862832,1862832,"[1, 12, 197, 197]","[1, 12, 197, 197]",['block1_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3725664,3725664,60,3725724,0,0,3725664,1,60
block1_attn_v_matmul,MatMul,Block1,16.1980205,0.2122622835,15.832249,16.58113,16.5132952,16.56756304,0.5028598999,0.01155680653,0.4902609999,0.524094,2468016,605184,"[1, 12, 197, 197]","[1, 12, 197, 64]","['block1_attn_softmax', 'block1_attn_qkv_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block1_attn_out_proj,Linear,Block1,3.7053216,0.2234932661,3.464112999,4.118445,4.06379565,4.10751513,1.635957,0.02634420621,1.601432,1.680545,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block1_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3572736,3572736,60,3572796,2359296,3072,1210368,1,60
block1_norm2,LayerNorm,Block1,0.3889134996,0.01620961785,0.3648270012,0.4267679997,0.4148672999,0.4243878597,0.08292620005,0.007497803798,0.07748400003,0.1014700001,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block1_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block1_ffn_fc1,Linear,Block1,30.9492325,0.6444683677,30.070817,32.098381,31.9302061,32.06474602,7.4674336,1.013839576,6.249357,8.912223,605184,2420736,"[1, 197, 768]","[1, 197, 3072]",['block1_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,12475392,12475392,60,12475452,9437184,12288,3025920,1,60
block1_ffn_gelu,GELU,Block1,14.8251164,0.1020965929,14.617082,14.96951,14.9562944,14.96686688,1.3567639,0.0278691692,1.308442001,1.401518,2420736,2420736,"[1, 197, 3072]","[1, 197, 3072]",['block1_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,4841472,4841472,60,4841532,0,0,4841472,1,60
block1_ffn_fc2,Linear,Block1,14.4250595,0.6113154823,13.823135,16.006138,15.52651045,15.91021249,6.6001945,0.1469515435,6.445233999,6.857126,2420736,605184,"[1, 197, 3072]","[1, 197, 768]",['block1_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,12466176,12466176,60,12466236,9437184,3072,3025920,1,60
block2_norm1,LayerNorm,Block2,0.3825376996,0.01400078453,0.3628200011,0.4024930004,0.4005894996,0.4021123002,0.0805015,0.002698088901,0.07843100047,0.08793899997,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block1_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block2_attn_qkv_proj,Linear,Block2,24.0043959,0.7388865986,23.235663,25.16172,25.125315,25.154439,4.8450247,0.1666607472,4.673301,5.100097,605184,1815552,"[1, 197, 768]","[1, 197, 2304]",['block2_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,9507840,9507840,60,9507900,7077888,9216,2420736,1,60
block2_attn_qk_matmul,MatMul,Block2,22.5413632,0.3204619356,22.174862,23.1539,23.07148475,23.13741695,0.7331584002,0.03986327829,0.6971160001,0.8462229998,1210368,1862832,"[1, 12, 197, 64]","[1, 12, 197, 197]",['block2_attn_qkv_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block2_attn_softmax,Softmax,Block2,5.1774858,0.08101934778,5.073026001,5.304466,5.29493365,5.30255953,0.7418948001,0.00935920882,0.7344250007,0.7603120002,1862832,1862832,"[1, 12, 197, 197]","[1, 12, 197, 197]",['block2_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3725664,3725664,60,3725724,0,0,3725664,1,60
