Server number,OCC,DINA,MEIDA,Ours
1,104.71879160063997,104.71379160063998,104.71379160064,127.86955276003843
2,104.71879160063997,104.71379160063998,52.92915130024001,52.42258029999999
3,104.71879160063997,104.71379160063998,35.22360730014,42.200951801040006
4,104.71879160063997,104.71379160063998,26.81553690034,29.6615191998
5,104.71879160063997,104.71379160063998,25.7130701998,29.3528175006
6,104.71879160063997,104.71379160063998,18.073512200339998,28.7303743006
7,104.71879160063997,104.71379160063998,17.391161299900002,28.641944600200002
8,104.71879160063997,104.71379160063998,17.391161299900002,28.5893319
9,104.71879160063997,104.71379160063998,17.391161299900002,28.5637572004
10,104.71879160063997,104.71379160063998,17.391161299900002,28.112791799900002
11,104.71879160063997,104.71379160063998,17.391161299900002,28.112791799900002
12,104.71879160063997,104.71379160063998,17.391161299900002,28.112791799900002
