Server number,OCC,DINA,MEIDA,Ours
1,28472.857571171553,21911.227571171556,29482.957743443276,28600.45050192717
2,28472.857571171553,21266.85686270598,21476.856862705972,21446.856862705976
3,17083.52047870616,17828.878162884175,15025.121739995984,12437.501005488535
4,17083.52047870616,17467.905953973397,10087.519770240584,10057.519770240584
5,17083.52047870616,15563.424129092682,10087.519770240584,10057.519770240584
6,17083.52047870616,14048.407458079451,10087.519770240584,10057.519770240584
7,13678.49631748407,14048.407458079451,8929.15941860358,8901.75355184968
8,10445.814703465536,14048.407458079451,5582.764730809098,5555.227564096594
