Server number,OCC,DINA,MEIDA,Ours
1,3399.0720369876403,781.7070369876408,440.90907479891996,599.0596771463809
2,3399.0720369876403,1340.90907479892,222.39413379932,221.26475429970006
3,3399.0720369876403,1340.90907479892,149.87613429932,152.52588239999997
4,3399.0720369876403,1340.90907479892,121.9224201998,141.6082403998
5,3399.0720369876403,1340.90907479892,115.07102209932,137.06356479962
6,3399.0720369876403,1340.90907479892,76.38397269951999,93.5861918999
7,3399.0720369876403,1340.90907479892,68.6948859,91.00433499999998
8,3399.0720369876403,1340.90907479892,61.865934299799996,89.23792039979999
9,3399.0720369876403,1340.90907479892,61.865934299799996,88.81795610019999
10,3399.0720369876403,1340.90907479892,61.865934299799996,88.7750133996
11,3399.0720369876403,1340.90907479892,61.865934299799996,88.7414886996
12,3399.0720369876403,1340.90907479892,61.865934299799996,88.7141563996
