Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,8292.496852466656,21876.49614400108,7693.602869785201,4701.856277899273
2,8292.496852466656,11376.496144001081,6193.602869785201,4701.856277899273
3,8292.496852466656,7876.49614400108,6210.783567136301,4701.856277899272
4,8292.496852466656,6126.496144001081,5710.783567136301,4701.856277899272
5,8292.496852466656,5076.49614400108,5658.133011781567,4701.856277899272
6,8292.496852466656,4376.49614400108,5680.857807810529,4569.47059255124
7,8292.496852466656,3876.4961440010793,5323.714950667672,4426.613449694098
8,8292.496852466656,3501.4961440010798,5055.857807810529,4319.47059255124
9,8292.496852466656,3209.8294773344137,4847.524474477196,4236.137259217907
10,8292.496852466656,2976.4961440010798,4680.857807810529,4169.47059255124
