Server number,OCC,DINA,MEIDA,Ours
1,4344.636265794653,4344.636265794653,4346.226265794648,0.0
2,4344.636265794653,5094.636265794653,4095.4393755935025,0.0
3,1870.673723668566,5094.636265794653,1784.2416215611302,0.0
4,1870.673723668566,5094.636265794653,1790.83501996537,0.0
5,1870.673723668566,5094.636265794653,1787.246695572007,0.0
6,1870.673723668566,5094.636265794653,1955.1370671154064,0.0
7,1667.7463560241827,5094.636265794653,1796.2034926518513,0.0
8,1541.6529816351526,5094.636265794653,1648.7727964614767,0.0
