Server number,OCC,DINA,MEIDA,Ours
1,4452.11756421479,4452.11756421479,4461.937564214774,4461.587564214773
2,4452.11756421479,4452.11756421479,3745.5119113848864,3743.295748606955
3,1168.3109262498729,1168.3109262498729,1178.1309262498726,1177.780926249872
4,1168.3109262498729,1168.3109262498729,1178.1309262498726,1177.780926249872
5,1168.3109262498729,1168.3109262498729,1178.1309262498726,1177.780926249872
6,1168.3109262498729,1168.3109262498729,1178.1309262498726,1177.780926249872
7,1125.5429023123709,1125.5429023123709,1135.3629023123715,1135.0129023123711
8,935.7570823826037,935.7570823826037,945.5770823826024,945.2270823826022
