Server number,OCC,DINA,MEIDA,Ours
1,42466.27173629439,42466.271736294395,42513.401736295236,42466.271736294395
2,42466.27173629439,48437.834236294395,36697.66878082362,36686.95466044788
3,13902.63420322667,33498.31623994517,13991.086143948552,13902.634203226673
4,13902.63420322667,19874.196703226673,13005.239510333342,12995.590986046434
5,13902.63420322667,19874.196703226673,12974.865368091721,12944.529214079328
6,13902.63420322667,19874.196703226673,12974.264924203811,12944.529214079328
7,13530.623768862777,19679.62566609686,12817.420083197325,12791.095650358846
8,11879.803861650003,18638.764945721236,12014.770419218434,11879.803861650005
