Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,12432.211612063105,520432.2116120631,12433.976612063105,11559.883561831173
10,12432.211612063105,63232.21161206311,12433.976612063105,11559.883561831173
20,12432.211612063105,37832.21161206311,12433.976612063105,11559.883561831173
30,12432.211612063105,29365.54494539644,12433.976612063105,11559.883561831173
40,12432.211612063105,25132.211612063107,12433.976612063105,11559.883561831173
50,12432.211612063105,22592.21161206311,12433.976612063105,11559.883561831173
60,12432.211612063105,20898.878278729775,12433.976612063105,11559.883561831173
70,12432.211612063105,19689.354469205966,12433.976612063105,11559.883561831173
80,12432.211612063105,18782.21161206311,12433.976612063105,11559.883561831173
90,12432.211612063105,18076.656056507552,12433.976612063105,11559.883561831173
100,12432.211612063105,17512.21161206311,13034.738599092829,11847.823282015193
