Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3595.8099611350617,12595.80996113506,3596.154961135062,3123.3104704734405
10,3595.8099611350617,4495.809961135061,3596.154961135062,3123.3104704734405
20,3595.8099611350617,4045.809961135061,3596.154961135062,3123.3104704734405
30,3595.8099611350617,3895.809961135061,3596.154961135062,3123.3104704734405
40,3595.8099611350617,3820.809961135061,3596.154961135062,3123.3104704734405
50,3595.8099611350617,3775.809961135061,3596.154961135062,3123.3104704734405
60,3595.8099611350617,3745.809961135061,3596.154961135062,3123.3104704734405
70,3595.8099611350617,3724.3813897064892,3596.154961135062,3123.3104704734405
80,3595.8099611350617,3708.309961135061,3596.154961135062,3123.3104704734405
90,3595.8099611350617,3695.809961135061,3596.154961135062,3123.3104704734405
100,3595.8099611350617,3685.809961135061,3596.154961135062,3123.3104704734405
