Model,DINA_Latency,MEDIA_Latency,Ours_Latency,OCC_Latency
ALBERT,1086.49614400108,1086.49614400108,876.49614400108,1303.681498233868
BERT-base,1116.2447527017598,1161.4188020058743,666.2447527017598,1082.1565301980977
DistillBERT,613.54587349931,641.5413957583706,433.5458734993099,608.6548136238217
InceptionV3,1711.0958171875002,1711.0958171875002,1362.4088187500004,1689.5825229675295
TinyBERT-4l,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-6l,620.90907479892,620.90907479892,440.9090747989201,616.0150566257022
ViT-base,8587.344404112799,8431.582560504046,425.56241409919994,2199.5025004262766
