Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,1881.056665310141,75376.6282449,3179.837600521322,3179.837600521322
10,1881.056665310141,7876.628244899985,3179.837600521322,3179.837600521322
20,1881.056665310141,4126.628244899985,10439.79058847011,10439.79058847011
30,1881.056665310141,2876.6282448999846,7189.79058847011,7189.79058847011
40,1881.056665310141,2251.6282448999846,6211.074394601019,6211.074394601019
50,1881.056665310141,1876.6282448999846,5041.074394601019,5041.074394601019
60,1881.056665310141,1626.6282448999846,4261.074394601019,4261.074394601019
70,1881.056665310141,1448.056816328556,3703.931537458161,3703.931537458161
80,1881.056665310141,1314.1282448999846,3286.074394601019,3286.074394601019
90,1881.056665310141,1209.961578233318,2961.074394601019,2961.074394601019
100,1881.056665310141,1126.6282448999846,2701.074394601019,2701.074394601019
