Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,4696.511845935059,22036.549918750003,7136.245685565749,7136.245685565749
10,4696.511845935059,3558.864371875,5137.017257769776,5137.017257769776
20,4696.511845935059,2532.3262859375,4076.9796062499995,4076.9796062499995
30,4696.511845935059,2190.146923958334,3219.9158041666665,3219.9158041666665
40,4696.511845935059,2019.0572429687502,2791.3839031249995,2791.3839031249995
50,4696.511845935059,1916.4034343750002,2534.2647624999995,2534.2647624999995
60,4696.511845935059,1847.967561979167,2362.8520020833334,2362.8520020833334
70,4696.511845935059,1799.084795982143,2240.4143160714284,2240.4143160714284
80,4696.511845935059,1762.4227214843752,2148.5860515625,2148.5860515625
90,4696.511845935059,1733.907774652778,2077.1640680555556,2077.1640680555556
100,4696.511845935059,1711.0958171875002,2020.0264812499997,2020.0264812499997
