Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,22246.638778876866,510306.6658980176,22448.034773749918,22448.034773749918
10,22246.638778876866,53106.66589801749,159159.48645291428,159159.48645291428
20,22246.638778876866,27706.66589801749,80959.48645291425,80959.48645291425
30,22246.638778876866,19239.999231350823,56595.90125129451,56595.90125129451
40,22246.638778876866,15006.66589801749,42998.829406915866,42998.829406915866
50,22246.638778876866,12466.66589801749,34838.829406915866,34838.829406915866
60,22246.638778876866,10773.332564684157,29398.829406915884,29398.829406915884
70,22246.638778876866,9563.808755160348,25513.11512120158,25513.11512120158
80,22246.638778876866,8656.66589801749,22598.829406915866,22598.829406915866
90,22246.638778876866,7951.110342461934,20332.162740249205,20332.162740249205
100,22246.638778876866,7386.665898017491,18518.829406915866,18518.829406915866
