Server number,OCC,DINA,MEIDA,Ours
1,4344.636265794653,4344.636265794653,4344.671265794653,4344.611265794652
2,4344.636265794653,5094.636265794653,6271.610619730409,4344.611265794652
3,1870.673723668566,5094.636265794653,1870.8487236685662,1870.648723668566
4,1870.673723668566,5094.636265794653,1870.8487236685662,1870.648723668566
5,1870.673723668566,5094.636265794653,1870.8487236685662,1870.648723668566
6,1870.673723668566,5094.636265794653,1870.8487236685662,1870.648723668566
7,1667.7463560241827,5094.636265794653,1667.9213560241828,1667.7213560241821
8,1541.6529816351526,5094.636265794653,1541.827981635153,1541.627981635152
