9LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
inception_b3_b4_pool,SecretMaxpool2dLayer,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6911,0.0297,5.6483,5.7612,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",,10
inception_b3_b4_1x1,SGXConvBase,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1675,0.0079,1.1593,1.1834,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b3_b4_relu,SecretReLULayer,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0184,0.0001,0.0182,0.0187,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b3_concat,SecretConcatenateLayer,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",,10
inception_b4_b1_1x1,SGXConvBase,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1687,0.0081,1.1547,1.1824,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b4_b1_relu,SecretReLULayer,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0184,0.0004,0.0181,0.0195,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b4_b2_1x1,SGXConvBase,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5590,0.0068,0.5481,0.5670,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b4_b2_relu1,SecretReLULayer,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0108,0.0030,0.0097,0.0198,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b4_b2_3x3,SGXConvBase,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1671,0.0098,1.1497,1.1830,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b4_b2_relu2,SecretReLULayer,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0191,0.0010,0.0182,0.0211,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b4_b3_1x1,SGXConvBase,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5662,0.0196,0.5494,0.6189,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b4_b3_relu1,SecretReLULayer,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0096,0.0001,0.0095,0.0099,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b4_b3_3x3_1,SGXConvBase,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1917,0.0572,1.1549,1.3393,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b4_b3_relu2,SecretReLULayer,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0181,0.0002,0.0178,0.0186,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b4_b3_3x3_2,SGXConvBase,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1955,0.0523,1.1590,1.3226,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b4_b3_relu3,SecretReLULayer,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0207,0.0033,0.0183,0.0277,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b4_b4_pool,SecretMaxpool2dLayer,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7157,0.0205,5.6826,5.7476,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",,10
inception_b4_b4_1x1,SGXConvBase,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1731,0.0147,1.1532,1.2055,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b4_b4_relu,SecretReLULayer,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0184,0.0002,0.0183,0.0190,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b4_concat,SecretConcatenateLayer,Inception-B4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",,10
reduction_b_b1_3x3,SGXConvBase,Reduction-B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4994,0.0077,0.4852,0.5090,49152,49152,"[1, 192, 8, 8]","[1, 192, 8, 8]",,10
reduction_b_b1_relu,SecretReLULayer,Reduction-B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0074,0.0002,0.0072,0.0078,49152,49152,"[1, 192, 8, 8]","[1, 192, 8, 8]",,10
reduction_b_b2_1x1,SGXConvBase,Reduction-B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1635,0.0077,1.1527,1.1811,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
reduction_b_b2_relu1,SecretReLULayer,Reduction-B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0191,0.0023,0.0179,0.0258,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
reduction_b_b2_3x3,SGXConvBase,Reduction-B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1650,0.0075,1.1550,1.1796,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
reduction_b_b2_relu2,SecretReLULayer,Reduction-B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0108,0.0002,0.0106,0.0114,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
reduction_b_b2_3x3_stride2,SGXConvBase,Reduction-B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1684,0.0067,1.1588,1.1825,81920,81920,"[1, 320, 8, 8]","[1, 320, 8, 8]",,10
reduction_b_b2_relu3,SecretReLULayer,Reduction-B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0086,0.0002,0.0084,0.0091,81920,81920,"[1, 320, 8, 8]","[1, 320, 8, 8]",,10
reduction_b_b3_pool,SecretMaxpool2dLayer,Reduction-B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2816,0.0162,1.2577,1.3058,196608,196608,"[1, 768, 8, 8]","[1, 768, 8, 8]",,10
reduction_b_concat,SecretConcatenateLayer,Reduction-B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,327680,327680,"[1, 1280, 8, 8]","[1, 1280, 8, 8]",,10
inception_c1_b1_1x1,SGXConvBase,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1783,0.0111,1.1608,1.2015,81920,81920,"[1, 320, 8, 8]","[1, 320, 8, 8]",,10
inception_c1_b1_relu,SecretReLULayer,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0086,0.0002,0.0084,0.0090,81920,81920,"[1, 320, 8, 8]","[1, 320, 8, 8]",,10
inception_c1_b2_1x1,SGXConvBase,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2277,0.0146,1.2108,1.2601,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c1_b2_relu1,SecretReLULayer,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0093,0.0007,0.0090,0.0115,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c1_b2_3x3,SGXConvBase,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2286,0.0102,1.2172,1.2458,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c1_b2_relu2,SecretReLULayer,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,0.0001,0.0101,0.0107,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c1_b3_1x1,SGXConvBase,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6339,0.0146,1.6108,1.6627,114688,114688,"[1, 448, 8, 8]","[1, 448, 8, 8]",,10
inception_c1_b3_relu1,SecretReLULayer,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,0.0002,0.0101,0.0107,114688,114688,"[1, 448, 8, 8]","[1, 448, 8, 8]",,10
inception_c1_b3_3x3_1,SGXConvBase,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2466,0.0249,1.2128,1.2944,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c1_b3_relu2,SecretReLULayer,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0091,0.0002,0.0090,0.0096,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c1_b3_3x3_2,SGXConvBase,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2293,0.0107,1.2148,1.2479,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c1_b3_relu3,SecretReLULayer,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,0.0010,0.0090,0.0124,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c1_b4_pool,SecretMaxpool2dLayer,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1146,0.0155,2.0930,2.1364,327680,327680,"[1, 1280, 8, 8]","[1, 1280, 8, 8]",,10
inception_c1_b4_1x1,SGXConvBase,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5016,0.0120,0.4878,0.5194,49152,49152,"[1, 192, 8, 8]","[1, 192, 8, 8]",,10
inception_c1_b4_relu,SecretReLULayer,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,0.0002,0.0077,0.0083,49152,49152,"[1, 192, 8, 8]","[1, 192, 8, 8]",,10
inception_c1_concat,SecretConcatenateLayer,Inception-C1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,524288,524288,"[1, 2048, 8, 8]","[1, 2048, 8, 8]",,10
inception_c2_b1_1x1,SGXConvBase,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1669,0.0079,1.1568,1.1830,81920,81920,"[1, 320, 8, 8]","[1, 320, 8, 8]",,10
inception_c2_b1_relu,SecretReLULayer,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0090,0.0002,0.0088,0.0094,81920,81920,"[1, 320, 8, 8]","[1, 320, 8, 8]",,10
inception_c2_b2_1x1,SGXConvBase,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2302,0.0119,1.2088,1.2470,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c2_b2_relu1,SecretReLULayer,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0098,0.0016,0.0090,0.0145,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c2_b2_3x3,SGXConvBase,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2297,0.0117,1.2131,1.2514,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c2_b2_relu2,SecretReLULayer,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0091,0.0001,0.0090,0.0093,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c2_b3_1x1,SGXConvBase,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6349,0.0165,1.6157,1.6656,114688,114688,"[1, 448, 8, 8]","[1, 448, 8, 8]",,10
inception_c2_b3_relu1,SecretReLULayer,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0004,0.0097,0.0113,114688,114688,"[1, 448, 8, 8]","[1, 448, 8, 8]",,10
inception_c2_b3_3x3_1,SGXConvBase,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2314,0.0129,1.2145,1.2531,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c2_b3_relu2,SecretReLULayer,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0091,0.0001,0.0090,0.0094,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c2_b3_3x3_2,SGXConvBase,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2248,0.0070,1.2168,1.2384,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c2_b3_relu3,SecretReLULayer,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,0.0032,0.0092,0.0198,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",,10
inception_c2_b4_pool,SecretMaxpool2dLayer,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1322,0.0194,2.1010,2.1623,327680,327680,"[1, 1280, 8, 8]","[1, 1280, 8, 8]",,10
inception_c2_b4_1x1,SGXConvBase,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5016,0.0121,0.4883,0.5256,49152,49152,"[1, 192, 8, 8]","[1, 192, 8, 8]",,10
inception_c2_b4_relu,SecretReLULayer,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,0.0030,0.0072,0.0172,49152,49152,"[1, 192, 8, 8]","[1, 192, 8, 8]",,10
inception_c2_concat,SecretConcatenateLayer,Inception-C2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,524288,524288,"[1, 2048, 8, 8]","[1, 2048, 8, 8]",,10
avgpool,SecretAvgpool2dLayer,Classifier,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0176,0.0004,0.0174,0.0187,8192,8192,"[1, 2048, 1, 1]","[1, 2048, 1, 1]",,10
flatten,SecretFlattenLayer,Classifier,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0037,0.0002,0.0036,0.0042,8192,8192,"[1, 2048]","[1, 2048]",,10
fc,SGXLinearBase,Classifier,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1713,0.0037,0.1678,0.1795,4000,4000,"[1, 1000]","[1, 1000]",,10
output,SecretOutputLayer,Classifier,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,4000,4000,"[1, 1000]","[1, 1000]",,10
