9LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
inception_a1_b4_1x1,SGXConvBase,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2086,0.0064,0.1994,0.2202,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",,10
inception_a1_b4_relu,SecretReLULayer,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,0.0021,0.0097,0.0152,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",,10
inception_a1_concat,SecretConcatenateLayer,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,1254400,1254400,"[1, 256, 35, 35]","[1, 256, 35, 35]",,10
inception_a2_b1_1x1,SGXConvBase,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6170,0.0112,0.6021,0.6380,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a2_b1_relu,SecretReLULayer,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0106,0.0021,0.0097,0.0169,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a2_b2_1x1,SGXConvBase,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6146,0.0094,0.6019,0.6264,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a2_b2_relu1,SecretReLULayer,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0106,0.0015,0.0098,0.0151,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a2_b2_3x3,SGXConvBase,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2604,0.0090,1.2483,1.2761,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",,10
inception_a2_b2_relu2,SecretReLULayer,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0121,0.0001,0.0120,0.0125,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",,10
inception_a2_b3_1x1,SGXConvBase,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3894,0.0115,0.3763,0.4166,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",,10
