Server number,OCC,DINA,MEIDA,Ours
1,13422.192676871144,13422.187676871143,13839.472010214642,13839.472010214642
2,13422.192676871144,25524.051827719533,13839.472010214642,13839.472010214642
3,8355.26758675515,23905.575180403615,8772.546920098655,8772.546920098655
4,8355.26758675515,23796.51551662993,8772.546920098655,8772.546920098655
5,8355.26758675515,22963.921544756045,8772.546920098655,8772.546920098655
6,8355.26758675515,22242.11220974199,8772.546920098655,8772.546920098655
7,8355.26758675515,22242.11220974199,8772.546920098655,8772.546920098655
8,8355.26758675515,22242.11220974199,8772.546920098655,8772.546920098655
