Server number,OCC,DINA,MEIDA,Ours
1,5943.272953430483,5943.2679534304825,6700.126298157045,6700.126298157045
2,5943.272953430483,17750.788203064272,6700.126298157045,6700.126298157045
3,3419.5872167645666,17031.190535880676,4176.440561491128,4176.440561491128
4,3419.5872167645666,17031.190535880676,4176.440561491128,4176.440561491128
5,3419.5872167645666,17031.190535880676,4176.440561491128,4176.440561491128
6,3419.5872167645666,17031.190535880676,4176.440561491128,4176.440561491128
7,3419.5872167645666,17031.190535880676,4176.440561491128,4176.440561491128
8,3419.5872167645666,17031.190535880676,4176.440561491128,4176.440561491128
