Server number,OCC,DINA,MEIDA,Ours
1,14773.709799781212,14773.704799781215,15370.90030637301,15370.90030637301
2,14773.709799781212,15689.138497596156,15370.90030637301,15370.90030637301
3,4696.511845935059,12224.464551442308,5293.702352526856,5293.702352526856
4,4696.511845935059,12224.464551442308,7136.245685565746,7136.245685565746
5,4696.511845935059,12224.464551442308,7136.245685565746,7136.245685565746
6,4696.511845935059,12224.464551442308,7136.245685565746,7136.245685565746
7,4696.511845935059,12224.464551442308,7136.245685565746,7136.245685565746
8,4696.511845935059,12224.464551442308,7136.245685565746,7136.245685565746
