Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3480.7860384524843,12440.909074798921,4511.114017524213,3528.4174246070256
2,3480.7860384524843,6440.909074798921,4511.114017524213,3523.2463885070256
3,3480.7860384524843,4440.909074798921,4511.114017524213,3020.0246259942
4,3480.7860384524843,3440.90907479892,4511.114017524213,2559.9991935456
5,3480.7860384524843,2840.90907479892,4148.754147681683,2225.32188159892
6,3480.7860384524843,2440.90907479892,3648.754147681683,1925.32188159892
7,3480.7860384524843,2155.194789084634,3291.6112905388263,1711.0361673132059
8,3480.7860384524843,1940.9090747989198,3007.777388190717,1860.693417995258
9,3480.7860384524843,1774.2424081322533,2757.777388190717,1411.4188766993
10,3480.7860384524843,1640.9090747989198,2525.32188159892,1309.78382799892
