Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3419.1489118616546,74626.62824489997,4176.002256588216,4176.002256588216
2,3419.1489118616546,37501.628244899985,4176.002256588216,4176.002256588216
3,3419.1489118616546,25126.628244899985,4176.002256588216,4176.002256588216
4,3419.1489118616546,18939.128244899985,4176.002256588216,4176.002256588216
5,3419.1489118616546,15226.628244899985,4176.002256588216,4176.002256588216
6,3419.1489118616546,12751.628244899985,4176.002256588216,4176.002256588216
7,3419.1489118616546,10983.771102042841,4176.002256588216,4176.002256588216
8,3419.1489118616546,9657.878244899985,4176.002256588216,4176.002256588216
9,3419.1489118616546,8626.628244899985,22454.10725513678,22454.10725513678
10,3419.1489118616546,7801.628244899985,20287.440588470112,20287.440588470112
