Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,30016.31181836194,186382.20603360242,28192.25913571425,28192.25913571425
2,30016.31181836194,94382.2060336024,28192.25913571425,28192.25913571425
3,30016.31181836194,63715.539366935765,28192.25913571425,28192.25913571425
4,30016.31181836194,48382.206033602415,28192.25913571425,28192.25913571425
5,30016.31181836194,39182.206033602415,28192.25913571425,28192.25913571425
6,30016.31181836194,33048.87270026909,28192.25913571425,28192.25913571425
7,30016.31181836194,28667.9203193167,28192.25913571425,28192.25913571425
8,30016.31181836194,25382.206033602415,198421.13704800032,198421.13704800032
9,30016.31181836194,22826.650478046864,176698.91482577808,176698.91482577808
10,30016.31181836194,20782.206033602415,159321.13704800032,159321.13704800032
