Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,11550.686884227673,282865.93578940956,11366.85648887245,11366.85648887245
2,11550.686884227673,142041.71703940956,11366.85648887245,11366.85648887245
3,11550.686884227673,95100.31078940956,11366.85648887245,11366.85648887245
4,11550.686884227673,71629.60766440956,11366.85648887245,11366.85648887245
5,11550.686884227673,57547.18578940956,11366.85648887245,11366.85648887245
6,11550.686884227673,48158.90453940956,11366.85648887245,11366.85648887245
7,11550.686884227673,41452.98936083813,11366.85648887245,11366.85648887245
8,11550.686884227673,36423.55297690956,11366.85648887245,11366.85648887245
9,11550.686884227673,32511.769122742895,11366.85648887245,11366.85648887245
10,11550.686884227673,29382.34203940956,11366.85648887245,11366.85648887245
