Server number,OCC,DINA,MEIDA,Ours
1,4401.568765794653,4401.563765794653,5700.3497010058345,5700.3497010058345
2,4401.568765794653,3647.140345384497,4821.702618468273,4821.702618468273
3,1881.056665310141,3647.140345384497,2973.5212956697073,2973.5212956697073
4,1881.056665310141,3647.140345384497,2506.0213404008755,2506.0213404008755
5,1881.056665310141,3647.140345384497,2701.074394601019,2701.074394601019
6,1881.056665310141,3647.140345384497,2701.074394601019,2701.074394601019
7,1881.056665310141,3647.140345384497,2701.074394601019,2701.074394601019
8,1881.056665310141,3647.140345384497,2701.074394601019,2701.074394601019
