Server number,OCC,DINA,MEIDA,Ours
1,10255.853141578951,10255.848141578952,11574.501830391211,11574.501830391211
2,10255.853141578951,5907.577944587985,9647.61692151745,9647.61692151745
3,5288.0337731667405,4640.740096200552,6064.021997953998,6064.021997953998
4,5288.0337731667405,3556.4555930618835,5098.1912357272695,5098.1912357272695
5,5288.0337731667405,3556.4555930618835,5493.380694829025,5493.380694829025
6,5288.0337731667405,3556.4555930618835,5493.380694829025,5493.380694829025
7,4880.547204474264,3556.4555930618835,5305.185697932107,5305.185697932107
8,4627.346480190076,3556.4555930618835,4839.0559060495,4839.0559060495
